Probe,Sample_Type,Sample_ID,Expression_Value
ILMN_1665632,hESC GCTM-2(hi) CD9(hi),rep1,5.84271782006
ILMN_1665632,hESC GCTM-2(hi) CD9(hi),rep2,5.3340951249
ILMN_1665632,hESC GCTM-2(hi) CD9(hi),rep3,6.21144166599
ILMN_1665632,hESC GCTM-2(lo) CD9(lo),rep1,4.35814082878
ILMN_1665632,hESC GCTM-2(lo) CD9(lo),rep2,5.15815217746
ILMN_1665632,hESC GCTM-2(lo) CD9(lo),rep3,4.67476215222
ILMN_1665632,hESC GCTM-2(mid) CD9(mid),rep1,5.77013358001
ILMN_1665632,hESC GCTM-2(mid) CD9(mid),rep2,6.25202153173
ILMN_1665632,hESC GCTM-2(mid) CD9(mid),rep3,4.61760927675
ILMN_1665632,hESC GCTM-2(neg) CD9(neg),rep1,4.93806567948
ILMN_1665632,hESC GCTM-2(neg) CD9(neg),rep2,5.22560681107
ILMN_1665632,hESC GCTM-2(neg) CD9(neg),rep3,3.84749704319
ILMN_1679060,hESC GCTM-2(hi) CD9(hi),rep1,15.8488293003
ILMN_1679060,hESC GCTM-2(hi) CD9(hi),rep2,15.8111471883
ILMN_1679060,hESC GCTM-2(hi) CD9(hi),rep3,15.7357655462
ILMN_1679060,hESC GCTM-2(lo) CD9(lo),rep1,14.3234271395
ILMN_1679060,hESC GCTM-2(lo) CD9(lo),rep2,14.6977648427
ILMN_1679060,hESC GCTM-2(lo) CD9(lo),rep3,14.6165138659
ILMN_1679060,hESC GCTM-2(mid) CD9(mid),rep1,15.5095662447
ILMN_1679060,hESC GCTM-2(mid) CD9(mid),rep2,15.6288050388
ILMN_1679060,hESC GCTM-2(mid) CD9(mid),rep3,15.6242264177
ILMN_1679060,hESC GCTM-2(neg) CD9(neg),rep1,12.1386022396
ILMN_1679060,hESC GCTM-2(neg) CD9(neg),rep2,12.9735836497
ILMN_1679060,hESC GCTM-2(neg) CD9(neg),rep3,13.2747784225
ILMN_1705546,hESC GCTM-2(hi) CD9(hi),rep1,13.8466982572
ILMN_1705546,hESC GCTM-2(hi) CD9(hi),rep2,14.2382292668
ILMN_1705546,hESC GCTM-2(hi) CD9(hi),rep3,13.7208881013
ILMN_1705546,hESC GCTM-2(lo) CD9(lo),rep1,11.8705185801
ILMN_1705546,hESC GCTM-2(lo) CD9(lo),rep2,12.6414608264
ILMN_1705546,hESC GCTM-2(lo) CD9(lo),rep3,12.3026934602
ILMN_1705546,hESC GCTM-2(mid) CD9(mid),rep1,13.7607744437
ILMN_1705546,hESC GCTM-2(mid) CD9(mid),rep2,14.0193090456
ILMN_1705546,hESC GCTM-2(mid) CD9(mid),rep3,13.6413489428
ILMN_1705546,hESC GCTM-2(neg) CD9(neg),rep1,8.33139909076
ILMN_1705546,hESC GCTM-2(neg) CD9(neg),rep2,9.50461902465
ILMN_1705546,hESC GCTM-2(neg) CD9(neg),rep3,9.81848787678
